Funct-name,Funct-desc
ap,AP Accounts Payable
blank,:
in,IN Inventory Management
po,PO Purchase Orders
op,OP Sales Order Processing
blank,:
blank,:
bom,BOM Bill of Materials and Routing
blank,:
pt,PT Productivity Tools
blank,:
blank,:
tu,Titan Utilities
tu.overview,Overview Menu
blank,:
tu.user,User Tools Menu
tu.sysadmin,System Administration Menu
tu.development,Development Tools Menu
fcrpt,Forecast Report
tu.technical,Current Release Technical Notes
blank,:
tu.dds,DDS utilities
exit,Exit to Operating System
quit,Quit from PROGRESS. End of session
opt.code.maint,Option Code Maintenance
tu.database,File & Field Tools Menu...
dictionary,PROGRESS Dictionary
update.files,Update Dictionary Extensions
file.maint,File Extensions Maintenance
browse.maker,Browse Maker
match.maker,Match Maker
rel.maint,File Relationship Maintenance
fields.maker,Fields Maker
generate.sizer,Generate Database Sizing Programs
file.caps,Set File & Field Caps to Standard
file.layouts,File Layouts List
field.alert,Field Definition Alert
db.schema,Data Base Schema Analysis
quick.ref,Quick PROGRESS Dictionary Query
where.used,Single Where Used BOM Inquiry
db.plan.entry,Database Size Planner
db.plan.print,Print Database Plan
execute.sizer,Execute Database Sizer
tu.dds,DDS utilities
menudump,Menu Dump Program
m-tagmemo,DDS tag memo Maint.
i-tagmemo,Tag Memo Inquiry
s-tagmemo,Tag Memo Summary Inquiry
p-tagmemo,Tag Memo Print - General
m-tag.test,Tag Memo File test
locked,Identify User Lock from Port
logon,TITAN Logon
tu.deployment,Deployment Tools Menu...
deploy.guide,System Deployment Notes
transfer,Create Transfer of Application
apply,:Apply Transfer of Application
site.dump,Dump Site-Specific Data
site.load,Load Site-Specific Data
menu.dump,Incremental Menu Dump/Load
file.dump,Dump - Load File
tu.development,Development Tools Menu
tu.guide,Development Guidelines Menu...
blank,:
menu.maint,Menu & Function Maintenance
blank,:
tu.database,File & Field Tools Menu...
tu.source,Source Tools Menu...
tu.xreference,Cross Reference Tools Menu...
tu.documentati,Documentation Tools Menu...
tu.macros,Development Macros Menu...
tu.deployment,Deployment Tools Menu...
blank,:
pro.help,PROGRESS Help Menu...
replace,String Search & Replace
test,Test Program (Not on Menu)
lifeline,LifeLine (kermit)
test,Test Program (Not on Menu)
blank,:
blank,:
menu.list,Menu & Function List
function.inq,Titan Function Inquiry
blank,:
blank,:
blank,:
blank,:
blank,:
blank,:
blank,:
blank,:
tu.documentati,Documentation Tools Menu...
fieldh.maint,Field Help Maintenance
doc.make,Print Documentation
content,Print Table of Contents
copy.help,Copy Field Level Help
doc.diagnostic,Documentation Diagnostics
doc.fields,Field Descriptions With Source
field.list,Field Help List
tu.features,T/U Features
tu.guide,Development Guidelines Menu...
concepts,General Concepts
dev.standard,Application Development Standards
prototype.dev,Prototype Development
custom,Customizing Applications
tu.hot,Hot Key Function Menu...
file.browse,Browse File
file.query,Alpha Browse
file.list,Print File Listing
file.entry,Create New Record
menu,"Pull Menu, Select and Return"
on-line.help,Show Documentation
report.driver,Report & Audit Drivers
exec.driver,Executive Report Driver
stackable.exec,Stackable Executive Rpt Driver
modify.help,Modify Field Level Help
create.help,Create Field Level Help
menu.inq,Display Available Menus
form.alignment,Form Alignment
field.inq,Display Help-frame Definition
help.inq,Help Choices
tag.memo,Attach Memo
field.inquiry,Field Inquiry
file.inquiry,File Extensions Browse
show.logins,Show Current Logins
refresh,Refresh Screen Image
refresh,Refresh Screen Image
srvr-vars-mnt,Server Vars Maintenance
refer-ctrl-mnt,Refer-Ctrl Maintenance
wo-comp-tran-s,WO Component Transaction Status
tu.macros,Development Macros Menu...
simple.macro,Simple File Maintenance Macro
lookup.macro,Lookup Table Maintenance Macro
maint.macro,File Maintenance Macro
maint2.macro,Two-level Maintenance Macro
header.macro,Transaction Header/Detail Macro
report.macro,Report Macro
audit.macro,Audit Macro
parent-child.m,Parent / Child Audit Macro
browse.macro,Browse Macro (Indexed Alpha/1 key)
browse1.macro,Browse Macro (Non-indexed Alpha)
browse2.macro,Browse Macro (Indexed Alpha/N-key)
browse3.macro,Browse Macro (Non-indexed/N-key)
browse4.macro,Browse Macro (N-key/No Alpha Sort)
browse5.macro,Enhanced Browse (Indx Alpha/N-key)
verify.macro,Verify & Balance Macro
driver.macro,Report Front-end Macro
params.macro,Report Parameters Macro
dumpload.macro,Dump / Load Macro
zap.macro,File Zapper Macro
login.macro,Login Macro
slogin.macro,Stackable Login Macro
tu.mis.brian,Brian's Menu
tu.mis.diane,Diane's Menu
tu.mis.tracy,Tracy's Menu
tu.mis.ben,Ben's Menu
tu.mis.ben,Ben's Menu
undelpo,Undelete PO
inv-ref,Invoice Customer Ref
tu.mis.brian,Brian's Menu
expire.pass,Password Expiration Maintenance
fix-tot-ar-amt,Fix CJ Total-ar-amt
cr-wo-oper,Create Wo-operation (None Exist)
fixordlnref,Fix Order Line References from 862
invcr.exp,Print/Export Invoice Line Info
tu.mis.diane,Diane's Menu
imp-carvel,Import Carvel Item Numbers
check-numbers,Update Carvel Check Numbers
blank,:
maru.inv,ADJ-TRANS Audit File
upd.cust.add,Update Customer Address on Orders
joep.woyield,Work Order Yield with Price
cust-oper,Customer WO Operations
cust-inv,Customer Invoices for Sharon
send-850,Send 850 to Sericol
vend.bankcode,Vendor Bank Code Update
import.arby,Import Arbys Location to A1011CC
invprntno-fix,Fix Mexico Invoice Numbers
refer-ctrl-mnt,Refer-Ctrl Maintenance
autoship.ecat,Auto Ship eCat Orders
blank,:
laser.bc.test,Laser Printer Barcode Test
mis.asset-exp,Asset Information Export
skeleton.lbl,Barcode Label Skeleton Test
pack-12,Package Label from W/O (1x2)
is.password,IS Password Maintenance
sub-batch-fix,Add Sub-Batch to Issued Ink
:,:
delzero,Delete Zero Requisition Lines
vlbl,Print Stock and Ink Vendor Labels
flip-vendor,One Time Vendor Conversion
delphi-inv,Extract Customer Shipments
del-cust-pric,Delete Customer Pricing Blank Item
honda-on,ORDLN-REF for Item Numbers
abtest,Auto Billing Test
genlabel,Generic Label
fixar,Auto Billing - Sls Jrnl + AR fix
phyx,Physical Inventory Update - Fix
tu.mis.tracy,Tracy's Menu
user.report,User Security Report
funct.report,Function Security Report
find-user,Find Titan User
specuser,Specific User Security Listing
runview,View Report Output From a File
py,Payroll
fa,Fixed Assets
pj,Project Costing
cs,Counter Sales
jit,JIT/ Repetitive Manufacturing
cfm,Continuous Flow Manufacturing
tu,Titan Utilities
sm,S.M.A.R.T.S.tm Main Menu
start.results,start up results
quote.expiry,Quotation By Expiry Date
quote.business,Lost/Gain Business Report
item.jrnl,Item Journal
tu.overview,Overview Menu
tu.features,T/U Features
titan.req,TITAN Disk Requirements
guide,Before You Begin
install,Installation Instructions
security,Security System
entity,Entity Concepts
blank,:
help,How To Get Help
keyboard,Keyboard Usage
log,How to Log On/Off
data.entry,How to Enter Data
report,How to Execute a Report
inquiry,How to Run an Inquiry
tu.listsource,T/U Source Modules & Other Goodies
stack.log,How to Use Stackable Log On/Off
gl.interface,How to Run the GL Interface
distr.purge,How to Run the Distribution Purge
prd.increment,How to Increment Fiscal Yr/Prd
audit.trail,How to Run an Audit Trail
blank,:
startup.titan,Starting Up Titan
user.maint,User Maintenance
security.maint,Function Security Maintenance
blank,:
is.usermaint,Extended User Maintenance
is.function,Extended Function Security
is.passthru,Pass-Through Login Maintenance
blank,:
specuser,Specific User Security Listing
funct.report,Function Security Report
find-user,Find Titan User
blank,:
password.maint,Change My Titan Password
change.printer,User Default Printer Maintenance
tu.source,Source Tools Menu...
editor,PROGRESS Editor
os.editor,Operating System Editor
xref.maker,Xref Maker For Files & Procedures
compiler,Compiler For All Applications
compiler.funct,Function Compiler
compiler.file,Compile By Referenced File
load.doty,Load Parameters From A .y File
blank2,:
version.maint,Product Version Maintenance
bug.entry,Bug Entry
bug.assign,Assignment Updates
bug.out,Check Source Programs Out
bug.in,Check Corrected Programs In
bug.resolve,Programmer Resolution of Bug
bug.lifeline,Prepare A LifeLine Diskette
bug.close,Final Edit & Closing
blank2,:
macro.exp,Macro Explosion
batch.macro,Batch Macro Explosion
mass.compile,Mass Compile for All Databases
compile,Compile One Program
blank2,:
blank2,:
bugs.log,Open Bug Logsheet
bug.report,Detailed Bug Report
tu.sysadmin,System Administration Menu
startup.titan,Starting Up Titan
user.maint,User Maintenance
security.maint,Function Security Maintenance
printer.maint,Printer Maintenance
printcap.maint,Printer Capabilities Maintenance
funct.sec,Change/Delete Users from Functions
entity.maint,Accounting Entity Maintenance
global.maint,Global Record Maintenance
number.maint,File Control Number Maintenance
db.plan.entry,Database Size Planner
execute.sizer,Execute Database Sizer
file.dump,Dump - Load File
entactiv,Entity Active/Division Maintenance
entity.purge,Entity Purge
file.dump,Dump - Load File
file.zapper,Zap Records
print.memo,Print Memo Tags
user.list,User List
security.list,Function Security List
printer.list,Printer Definitions List
user.report,User Security Report
funct.report,Function Security Report
estchg,Update Estimator User-id on Quotes
entity.list,Accounting Entity List
number.list,File Control Number List
db.plan.print,Print Database Plan
operator.log,Operator Log Audit Trail
general.hash,General Hash Totals Report
general.audit,General Audit Trail Printing
blank,:
tu.hot,Hot Key Function Menu...
tu.user,User Tools Menu
help.maint,Help Key Maintenance
blank,:
exec.rpt,Executive Reporter
execdr.hlp,Executive Report Driver Help
blank,:
stacker.maint,Job Stacker Maintenance
stacker,Job Stacker Execution
demon,Demon Inquiry
blank,:
calculator,Calculator
help.list,Help Key List
blank,:
blank,:
blank,:
blank,:
stacker.list,Job Stacker List
tu.xreference,Cross Reference Tools Menu...
xref.maker,Xref Maker For Files & Procedures
file.apps,Create Where-Used File List
impact,Impact Analysis
blank3,:
field.xref,Files By Field Xref List
parent.xref,Children By Parent Xref List
child.xref,Parents By Child Xref List
functions.xref,Where-used list for Procedures
xref.list,Where-used list for Files & Fields
wh.log,Log On/Off
help,How To Get Help
help.inq,Help Choices
browse.zoom,Browse/Zoom Procedures
menu.inq,Display Available Menus
quit,Quit from PROGRESS. End of session
wh.ctrledt,Control-File Maintenance
unpick,Return Picked Items to Inventory
blank,:
stock.transfer,One Step Stock Whs Transfer
req.whs.trans,Request Warehouse Transfer
alloc.whs.tran,Allocate Warehouse Transfer
blank,:
